a,একটি
compotes,সিরাপে সংরক্ষিত করা ফল
compound,যৌগ
compounded,মিশ্রিত
compounder,কম্পউণ্ডার
compounders,মিশ্রক
compounding,মিট
compounds,যৌগের
comprador,বেনিয়ান
compradores,আর্থ সাম্রাজ্যবাদীরা
compradors,মুৎসুদ্দি শ্রেণীর
comprehend,বোঝা
comprehended,ঢুকা
comprehending,বোঝা
comprehends,পরিধিভুক্ত
comprehensibility,বোধগম্যতা
comprehensible,বোধগম্য
comprehension,ধী
comprehensions,ধী
comprehensive,ব্যাপক
comprehensively,অগ্রপশ্চাৎ
comprehensives,ছিল ব্যাপক
compress,সঙ্কুচিত করা
compressed,সঙ্কুচিত
compresses,সংকোচন
compressible,সংকোচনশীল
compressing,সংকুচিতকারী
compression,সংকোচন
compressional,ভয়ানক এক বাস্তবতা আমাদের
compressions,চাপ
compressor,সংকোচকারী
compressors,কম্প্রেসার
comprise,গঠন করা
comprised,অন্তর্ভুক্ত
comprises,গঠিত
comprising,অংশীভূত
compromise,আপস
compromised,সংকটাপন্ন
compromiser,আপোষকারক
compromisers,আপোষকারক
compromises,আপোস
compromising,সন্দেহজনক
comprovincial,একই এলাকায় সম্পর্কিত
comptroller,নিয়ামক
comptrollers,হিসাবাধ্যক্ষ
compucntion,অনুশোচনা
compulsion,বাধ্যবাধকতা
compulsions,বাধ্যবাধকতা
compulsive,অমোঘ
compulsorily,প্রেষণে
compulsory,বাধ্যতামূলক
compunction,অনুশোচনা
compunctions,অনুশোচনা
compunctious,অনুতপ্ত
computable,গণনীয়
computation,গুনতি
computational,গণনীয়
computations,কম্পিউটেশন
compute,গনা
computed,কলিত
computer,কম্পিউটার
computerisation,computerization
computerise,গণনাকারী যন্ত্র প্রয়োগ করা
computerised,গণনাকারী যন্ত্র প্রয়োগকারী
computerises,গণনাকারী যন্ত্র প্রয়োগ করা
computerising,গণনাকারী যন্ত্র প্রয়োগ করা
computerize,গণনাকারী যন্ত্র প্রয়োগ করা
computerized,গণনাকারী যন্ত্র প্রয়োগকারী
computerizes,গণনাকারী যন্ত্র প্রয়োগ করা
computerizing,গণনাকারী যন্ত্র প্রয়োগ করা
computers,কম্পিউটার
computes,গণনা
computing,কম্পিউটিং
comrade,সঙ্গী
comradely,কমরেডসুলভ
comradery,পক্ষ থেকে
comrades,কমরেডদের
comradeship,সঙ্গীদের সম্পর্ক
comradeships,সঙ্গীদের সম্পর্ক
coms,কম
comus,তাই হয়তো আপনার স্ট্যাটাস
con,বিরূদ্ধে
conatus,প্রচেষ্টা
concatenate,বন্ধ করা
concatenated,সংযুক্ত
concatenates,বন্ধ করা
concatenating,বন্ধ করা
concatenation,একত্রীকরণ
concatenations,শ্রেণীপরংপরা
concave,অবতল
concaves,খিলান
concavities,গোলাকার ফাঁপা বস্তুর ভিতর
concavity,গোলাকার ফাঁপা বস্তুর ভিতর
conceal,ছাপান
concealed,গোপন
concealer,গোপনকারী
concealers,গোপনকারী
concealing,গোপন
concealment,ঢাকন
concealment of identity,আত্মগোপন
concealments,অপবারণ
conceals,ইচ্ছাকৃতভাবে লুকিয়ে রাখেন
concede,স্বীকার করা
conceded,গোপন
concededly,পরিশেষে
concedes,স্বীকার করা
conceding,স্বীকার করা
conceit,অহমিকা
conceited,দাম্ভিক
conceited person,দাম্ভিক লোক
conceits,চোখে
conceivable,অনুমেয়
conceivably,বোধগম্যভাবে
conceive,কল্পনা করা
conceived,ভাবা
conceives,"এটাই সত্য
conceiving,চিন্তাকারী
concentrate,ঘনীভূত করা
concentrated,ঘনীভূত
concentrates,ঘনীভূত
concentrating,মনোযোগ
concentration,একাগ্রতা
concentration of mind,একাগ্রতা
concentrations,কেন্দ্রীকরণ
concentrators,ওজোন
concentre,একাগ্রতা করা
concentred,কেঁদ্রীভূত করা
concentres,কেঁদ্রীভূত করা
concentric,সমকেন্দ্রি
concentrically,এককেন্দ্রীয়ভাবে
concentricities,এককেন্দ্রীয়তা
concentricity,সমকেন্দ্রিকতা
concentring,কেঁদ্রীভূত করা
concentus,কনসার্ট
concept,ধারণা
conception,ধারণা
conceptions,ধারণা
concepts,ধারণা
conceptual,ধারণাগত
conceptualise,ধারণা অবশ্যই
conceptualised,conceptualized
conceptualism,ধারণাবাদ
conceptualist,ধারণাবাদে বিশ্বাসী ব্যক্তি
conceptualize,আসন্ন
conceptualizing,আরেকটি
conceptually,ধারণার দিক
conceptus,ধারণা
concern,উদ্বেগ
concerned,উদ্বিগ্ন
concernedly,জিতায়
concerning,বিষয়ে
concernment,উদ্বেগ
concerns,উদ্বেগ
concert,সঙ্গীতানুষ্ঠান
concerted,সমন্বিত
concertedly,জয়কে বাফুফের জরিমানা
concerti,গানবিষয়ক রচনা
concertina,বাদ্যযন্ত্রবিশেষ
concertinas,বাদ্যযন্ত্রবিশেষ
concerting,মিলন
concerto,গানবিষয়ক রচনা
concertos,সার্চইঞ্জিন
concerts,কনসার্ট
concession,অনুমোদন
concessionaire,সুবিধা বা অধিকারপ্রাপ্ত ব্যক্তি বা সংস্থা
concessionaires,দেশ অর্থনৈতিক
concessionary,অচেতন
concessionnaire,সুবিধা বা অধিকারপ্রাপ্ত ব্যক্তি বা সংস্থা
concessions,ছাড়
concessive,অনুমোদনসূচক
conch,শঙ্খ
conch shell,শাঁক
concha,কর্ণের অগ্রভাগ
conchae,কর্ণের অগ্রভাগ
conchal,সমাজে এরকম
conchas,শেল
conched,শাঁখ
conches,শঙ্খ
conching,শাঁখ
conchoid,কঙকইড
conchoidal,শঙ্খকল্প
conchoids,কঙকইড
conchology,শঙ্খবিদ্যা
conchs,শঙ্খ
conchy,বিবেকী
concierge,প্রহরী
concierges,প্রহরী
conciliate,শান্ত করা
conciliated,ধর্ষণের বর্ণনা
conciliates,সন্তুষ্ট করা
conciliating,সন্তুষ্ট করা
conciliation,মীমাংসা
conciliations,শান্তকরণ
conciliator,শান্তিকারক
conciliators,শান্তিকারক
conciliatory,বন্ধুত্বপূর্ণ
concise,সংক্ষিপ্ত
concised,সংক্ষিপ্ত
conciseness,সংক্ষিপ্ত রুপ
conciser,সংক্ষিপ্ত
concises,সংক্ষিপ্ত
concisest,সংক্ষিপ্ত
concising,সংক্ষিপ্ত
concision,সংক্ষিপ্ত রুপ
conclamation,"conclamation
conclave,গুপ্ত আলোচনা
conclaves,গুপ্ত আলোচনা
conclude,শেষ করা
concluded,পর্যবসিত
concludes,উপসংহারে
concluding,আখেরী
conclusion,উপসংহার
conclusions,সিদ্ধান্তে
conclusive,অকাট্য
conclusively,পরেও
conclusiveness,প্রামাণ্যতা
